id,species,forme,type1,type2,hp,attack,defense,spattack,spdefense,speed,dex1,dex2,pre-evolution
1,Bulbasaur,Bulbasaur,Grass,Poison,45,49,49,65,65,45,,,
2,Ivysaur,Ivysaur,Grass,Poison,60,62,63,80,80,60,,,Bulbasaur
3,Venusaur,Venusaur,Grass,Poison,80,82,83,100,100,80,,,Ivysaur
4,Charmander,Charmander,Fire,,39,52,43,60,50,65,,,
5,Charmeleon,Charmeleon,Fire,,58,64,58,80,65,80,,,Charmander
6,Charizard,Charizard,Fire,Flying,78,84,78,109,85,100,,,Charmeleon
7,Squirtle,Squirtle,Water,,44,48,65,50,64,43,,,
8,Wartortle,Wartortle,Water,,59,63,80,65,80,58,,,Squirtle
9,Blastoise,Blastoise,Water,,79,83,100,85,105,78,,,Wartortle
10,Caterpie,Caterpie,Bug,,45,30,35,20,20,45,"When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.","It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers.",
11,Metapod,Metapod,Bug,,50,20,55,25,25,30,Its shell is filled with its soft innards. It doesn’t move much because of the risk it might carelessly spill its innards out.,"Its shell is hard, but it’s still just a bug shell. It’s been known to break, so intense battles with it should be avoided.",Caterpie
12,Butterfree,Butterfree,Bug,Flying,60,45,50,90,80,70,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.,"When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings.",Metapod
13,Weedle,Weedle,Bug,Poison,40,35,30,20,20,50,,,
14,Kakuna,Kakuna,Bug,Poison,45,25,50,25,25,35,,,Weedle
15,Beedrill,Beedrill,Bug,Poison,65,90,40,45,80,75,,,Kakuna
16,Pidgey,Pidgey,Normal,Flying,40,45,40,35,35,56,,,
17,Pidgeotto,Pidgeotto,Normal,Flying,63,60,55,50,50,71,,,Pidgey
18,Pidgeot,Pidgeot,Normal,Flying,83,80,75,70,70,101,,,Pidgeotto
